"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Vendor ID","Qty.","Price","Tax","Brand","Publish to eCom","Season","Department","MSRP","Tax Class","Default Cost","Vendor","Category","Subcategory 1","Subcategory 2","Subcategory 3","Subcategory 4","Subcategory 5","Subcategory 6","Subcategory 7","Subcategory 8","Subcategory 9"
"210000000807","","","","","Bookmark 6x2","","-240","$0.43","Yes","","No","","","0.43","Item","0.000000000","","","","","","","","","","",""
"210000000420","","","","","Recruiting Card Set 24","","-235","$3.00","Yes","","No","","","4.00","Item","0.250000000","","Print","","","","","","","","",""
"210000000425","","","","","Poster (13x19)","","-232","$2.00","Yes","","No","","","2.00","Item","0.240000000","","Print","","","","","","","","",""
"210000000424","","","","","Engraving Only","","-227","$32.00","Yes","","No","","","32.00","Item","5.000000000","","Laser","","","","","","","","",""
"210000000472","","","","","A2 Envelope + Print Color","","-220","$0.30","Yes","","No","","","0.30","Item","0.150000000","","Print","","","","","","","","",""
"210000000774","","","","","2025 Lottery Ticket Mailer","","-217","$3.50","Yes","","No","","","3.50","Item","0.000000000","","Mail","","","","","","","","",""
"210000000058","","","","","5' White PVC Sign Post","","-203","$108.00","Yes","","Yes","","","108.00","Item","77.540000000","4Ever Products","Retail","","","","","","","","",""
"210000000451","","","","","2022 Ornament","","-191","$6.75","Yes","","No","","","6.00","Item","0.400000000","","Laser","","","","","","","","",""
"210000000736","","","","","","""Running Your Business Like a Business"" Handouts, 27 pages stapled","","-185","$4.05","Yes","","No","","","4.05","Item","0.000000000","","Print","","","","","","","","",""
"210000000047","","","","","6' White PVC Sign Post","","-181","$115.00","Yes","","Yes","","","115.00","Item","81.630000000","4Ever Products","Retail","","","","","","","","",""
"210000000802","","","","","2025 School Schedule - Not Mailed","","-165","$2.50","Yes","","No","","","2.50","Item","0.140000000","","Print","","","","","","","","",""
"210000000784","","","","","Folding Name Card","","-159","$0.65","Yes","","No","","","0.65","Item","0.100000000","","Print","","","","","","","","",""
"210000000797","","","","","2025 Football Magnet - Not mailed","","-156","$3.00","Yes","","No","","","3.00","Item","1.500000000","","Print","","","","","","","","",""
"210000000502","","","","","4x6"" Notepads 50 Pages - Set of 20","","-154","$99.00","Yes","","No","","","90.00","Item","66.000000000","","Wholesale Print","","","","","","","","",""
"210000000415","","","","","April Seed Mailer - No Mailing","","-150","$2.00","Yes","","No","","","2.00","Item","0.600000000","","Mail","","","","","","","","",""
"210000000273","","","","","Shipping/Delivery","","-143","$8.00","Yes","","No","","","8.00","Item","8.000000000","","Retail","","","","","","","","",""
"210000000023","","","","","Large Rider Pegs (Pair)","","-141","$1.50","Yes","","Yes","","","1.00","Item","0.840000000","Dirt Cheap Signs","Retail","","","","","","","","",""
"210000000435","","","","","Shipping","","-139","$8.00","Yes","","No","","","9.00","Item","8.000000000","","Retail","","","","","","","","",""
"210000000479","","","","","12x18 Car Magnet","","-128","$39.00","Yes","","No","","","39.00","Item","26.480000000","","Wholesale Print","","","","","","","","",""
"210000000775","","","","","2025 Lottery Ticket Card (not mailed)","","-125","$3.00","Yes","","No","","","3.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000469","","","","","Recruiting Packet - In house","","-123","$16.50","Yes","","No","","","16.50","Item","10.000000000","","Print","","","","","","","","",""
"210000000786","","","","","Flower Seed Mailer - 2025","","-117","$3.75","Yes","","No","","","3.75","Item","2.000000000","","Mail","","","","","","","","",""
"210000000372","","","","","33x81 Standing Retractable Banner","","-115","$169.00","Yes","","No","","","169.00","Item","90.860000000","","Wholesale Print","","","","","","","","",""
"210000000700","","","","","Sheet of stickers","","-110","$0.00","Yes","","No","","","0.00","Item","1.500000000","","Print","","","","","","","","",""
"210000000042","","","","","Black 18x24in Sign Frame","","-103","$45.00","Yes","","Yes","","","45.00","Item","25.520000000","","Retail","","","","","","","","",""
"210000000541","","","","","Printed and Spiral Bound Book","","-103","$20.00","Yes","","No","","","20.00","Item","4.000000000","","Print","","","","","","","","",""
"210000000501","","","","","1% Planner 104 pages","","-102","$19.00","Yes","","No","","","19.00","Item","2.500000000","","Print","","","","","","","","",""
"210000000385","","","","","Cut To Shape Card 100-249","","-100","$1.50","Yes","","No","","","1.50","Item","0.200000000","","Print","","","","","","","","",""
"210000000665","","","","","Spiral Booklet 10pgs","","-100","$7.10","Yes","","No","","","7.10","Item","2.500000000","","Print","","","","","","","","",""
"210000000426","","","","","2'x3' Foamboard sign","","-93","$71.00","Yes","","No","","","71.00","Item","58.000000000","","Wholesale Print","","","","","","","","",""
"210000000877","","","","","Handwritten Address","","-89","$0.00","Yes","","No","","","0.00","Item","0.000000000","","","","","","","","","","",""
"210000000758","","","","","Mission Statement Stapled","","-85","$0.45","Yes","","No","","","0.45","Item","10.000000000","","Print","","","","","","","","",""
"210000000729","","","","","Career Visioning Spiral Bound Manuals","","-80","$25.75","Yes","","No","","","25.75","","0.000000000","","Print","","","","","","","","",""
"210000000782","","","","","50 Page Notepad (3.75x8.75) with magnet","","-75","$5.25","Yes","","No","","","5.25","Item","4.000000000","","Print","","","","","","","","",""
"210000000730","","","","","30/60/90 Spiral Bound Manuals","","-70","$26.05","Yes","","No","","","26.05","Item","0.000000000","","Print","","","","","","","","",""
"210000000785","","","","","Linen w/ Spot UV Certificate (8.5x11)","","-70","$2.00","Yes","","No","","","2.00","Item","1.000000000","","Print","","","","","","","","",""
"210000000708","","","","","X-Large (24x36) Custom Aluminum Composite Sign Single","","-69","$159.00","Yes","","No","","","159.00","Item","79.010000000","","Wholesale Print","","","","","","","","",""
"210000000800","","","","","Class Manual - Value Squared","","-69","$14.30","Yes","","No","","","14.30","Item","0.000000000","","","","","","","","","","",""
"210000000438","","","","","Set of Carabiners (2)","","-68","$2.50","Yes","","No","","","2.50","Item","0.500000000","","Retail","","","","","","","","",""
"210000000354","","","","","Custom Bound Book","","-65","$19.00","Yes","","No","","","19.00","Item","1.000000000","","Print","","","","","","","","",""
"210000000418","","","","","KWMC Calendar","","-65","$3.00","Yes","","No","","","4.00","Item","0.400000000","","Print","","","","","","","","",""
"210000000655","","","","","Calendar 8x4 Spiral Bound","","-63","$8.00","Yes","","No","","","8.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000716","","","","","In-Store Signage Series A","","-63","$99.00","Yes","","No","","","99.00","Item","35.200000000","","Foot Solutions","","","","","","","","",""
"210000000512","","","","","Rush Fee - Next Day (Shipping)","","-61","$50.00","Yes","","No","","","50.00","Item","40.000000000","","Wholesale Print","","","","","","","","",""
"210000000493","","","","","72 Sold Trifold","","-60","$1.65","Yes","","No","","","1.65","Item","0.200000000","","Print","","","","","","","","",""
"210000000765","","","","","Jumbo Trifold 7.5 by 18.5","","-60","$1.65","Yes","","No","","","1.65","Item","1.000000000","","Print","","","","","","","","",""
"210000000477","","","","","Jenny's Cookbook","","-59","$32.50","Yes","","No","","","32.50","Item","10.000000000","","Print","","","","","","","","",""
"210000000718","","","","","In-Store POP 8.5x11","","-59","$0.75","Yes","","No","","","0.75","Item","0.500000000","","Foot Solutions","","","","","","","","",""
"210000000868","","","","","Class Manual - Day 1","","-57","$33.85","Yes","","No","","","33.85","Item","0.000000000","","Print","","","","","","","","",""
"210000000499","","","","","Tablet Tent 6x6","","-56","$0.85","Yes","","No","","","0.85","Item","0.120000000","","Print","","","","","","","","",""
"210000000660","","","","","Aluminum Rider","","-55","$45.00","Yes","","No","","","45.00","Item","27.460000000","","Wholesale Print","","","","","","","","",""
"210000000870","","","","","Class Manual - Day 2","","-55","$37.75","Yes","","No","","","37.75","Item","0.000000000","","Print","","","","","","","","",""
"210000000755","","","","","Tumbler 24+","","-53","$18.00","Yes","","No","","","18.00","Item","10.000000000","","UV Printer","","","","","","","","",""
"210000000577","","","","","FS Instore Sales Guide","","-51","$8.00","Yes","","No","","","8.00","Item","3.000000000","","Print","","","","","","","","",""
"210000000535","","","","","HF+ Sales Guide 30 Pages","","-50","$4.50","Yes","","No","","","4.50","Item","1.500000000","","Print","","","","","","","","",""
"210000000670","","","","","2024 Braves Schedule - Printed w/ Printed Envelopes","","-50","$1.60","Yes","","No","","","1.60","Item","0.300000000","","Print","","","","","","","","",""
"210000000778","","","","","Paper Upgrade","","-50","$0.15","Yes","","No","","","0.15","Item","0.000000000","","Print","","","","","","","","",""
"210000000783","","","","","Will's Biography","","-50","$5.00","Yes","","No","","","5.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000794","","","","","Bifold 8.5x11","","-50","$1.35","Yes","","No","","","1.35","Item","0.000000000","","","","","","","","","","",""
"210000000872","","","","","2025 Holiday Card - Printed","","-50","$2.00","Yes","","No","","","2.00","Item","1.350000000","","Print","","","","","","","","",""
"210000000416","","","","","Banner","","-48","$90.00","Yes","","No","","","90.00","Item","35.000000000","","Wholesale Print","","","","","","","","",""
"210000000739","","","","","Grommets per set of 2","","-47","$4.00","Yes","","No","","","4.00","Item","2.000000000","","Retail","","","","","","","","",""
"210000000678","","","","","FS/HF+ - OTC / Stridewell PVC Signs","","-46","$49.00","Yes","","No","","","49.00","Item","24.000000000","","Wholesale Print","","","","","","","","",""
"210000000651","","","","","DTG Treat and Print Per Side","","-45","$9.00","Yes","","No","","","9.00","Item","3.000000000","","Clothing","T-Shirts","","","","","","","",""
"210000000474","","","","","UV Unlimited","","-42","$9.00","Yes","","No","","","9.00","Item","1.000000000","","UV Printer","","","","","","","","",""
"210000000476","","","","","Coroplast 24x36","","-42","$84.00","Yes","","No","","","84.00","Item","44.000000000","","Wholesale Print","","","","","","","","",""
"210000000795","","","","","Poster (11x14)","","-38","$2.00","Yes","","No","","","2.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000706","","","","","Black and White Book with no cover, notes pages removed","","-37","$14.00","Yes","","No","","","14.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000405","","","","","3'x4' Banner","","-35","$49.00","Yes","","No","","","49.00","Item","24.410000000","","Wholesale Print","","","","","","","","",""
"210000000681","","","","","6""x6"" Booklet","","-30","$5.00","Yes","","No","","","5.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000717","","","","","In-Store Signage Slat Wall","","-30","$49.00","Yes","","No","","","49.00","Item","20.000000000","","Foot Solutions","","","","","","","","",""
"210000000509","","","","","Rounded Corners","","-26","$10.00","Yes","","No","","","10.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000050","","","","","Business Card 32Pt Color Core 250","","-25","$164.00","Yes","","No","","","115.00","Item","69.000000000","Navitor","Wholesale Print","","","","","","","","",""
"210000000505","","","","","Square Booklet 8PG","","-25","$4.00","Yes","","No","","","4.00","Item","0.600000000","","","","","","","","","","",""
"210000000780","","","","","Lottery Ticket Doorhanger","","-25","$2.00","Yes","","No","","","2.00","Item","1.100000000","","Print","","","","","","","","",""
"210000000791","","","","","KWNA Vendor Magazine (24 Pages)","","-25","$8.00","Yes","","No","","","8.00","Item","4.000000000","","","","","","","","","","",""
"210000000806","","","","","13oz Vinyl Banner per Sqft (Shipping not Included)","","-24","$5.00","Yes","","No","","","5.00","Item","1.500000000","","Wholesale Print","","","","","","","","",""
"210000000674","","","","","Spiral Bound Booklet - 24 Page","","-23","$12.20","Yes","","No","","","12.20","Item","0.000000000","","Print","","","","","","","","",""
"210000000809","","","","","Custom Riders 2-4","","-23","$25.00","Yes","","No","","","25.00","Item","10.420000000","","Wholesale Print","","","","","","","","",""
"210000000752","","","","","18x24 Posterboard Print (Single Sided)","","-22","$30.00","Yes","","No","","","30.00","Item","0.000000000","","UV Printer","","","","","","","","",""
"210000000705","","","","","Full Color Book with Cardstock Cover and Notes Pages","","-21","$39.00","Yes","","No","","","39.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000021","","","","","EDDM Impression Standard","","'-","$0.70","No","","Yes","","","0.67","Item","0.320000000","","Mail","","","","","","","","",""
"210000000025","","","","","12x18 Custom Color Yard Sign w/HDStake 10-25","","'-","$19.00","Yes","","Yes","","","19.00","Item","7.390000000","Sinalite","Wholesale Print","","","","","","","","",""
"210000000026","","","","","A2 Greeting Cards (w/ Envelopes)","","'-","$0.95","Yes","","No","","","0.95","Item","0.630000000","Sinalite","Print","","","","","","","","",""
"210000000028","","","","","Full Service Mail - Premium","","'-","$1.75","Yes","","No","","","1.70","Item","0.460000000","Diane Endeavors","Mail","","","","","","","","",""
"210000000034","","","","","House - Post Card (8up>)","","'-","$0.33","Yes","","No","","","0.26","Item","0.160000000","Diane Endeavors","Print","","","","","","","","",""
"210000000035","","","","","18x24in Custom Coroplast Signs w/HD Stake 5-9","","'-","$28.00","Yes","","No","","","28.00","Item","12.130000000","Sinalite","Wholesale Print","","","","","","","","",""
"210000000037","","","","","Flyer 100lb 1 side","","'-","$0.41","Yes","","Yes","","","0.41","Item","0.100000000","Diane Endeavors","Print","","","","","","","","",""
"210000000041","","","","","House - Post Card Large (4up>)","","'-","$0.45","Yes","","No","","","0.35","Item","0.310000000","Diane Endeavors","Print","","","","","","","","",""
"210000000044","","","","","Booklet 8.5/5.5"" Full Color 4","","'-","$0.60","Yes","","No","","","0.00","Item","0.150000000","Diane Endeavors","Print","","","","","","","","",""
"210000000045","","","","","Booklet 8.5/5.5"" Full Color 20","","'-","$4.00","Yes","","No","","","4.00","Item","3.000000000","Diane Endeavors","Print","","","","","","","","",""
"210000000046","","","","","Booklet 11/8.5"" Full Color 12","","'-","$4.80","Yes","","No","","","4.80","Item","0.890000000","Diane Endeavors","Print","","","","","","","","",""
"210000000059","","","","","Door Hanger","","'-","$0.80","Yes","","No","","","0.75","Item","0.390000000","","Print","","","","","","","","",""
"210000000061","","","","","Booklet 11/8.5"" Full Color 8","","'-","$3.00","Yes","","No","","","2.00","Item","0.670000000","Diane Endeavors","Print","","","","","","","","",""
"210000000063","","","","","Misc Print Work","","'-","$185.00","Yes","","No","","","0.00","Item","0.000000000","","Print","","","","","","","","",""
"210000000080","","","","","Booklet 11/8.5"" Black 44","","'-","$0.00","Yes","","No","","","0.00","Item","0.000000000","Diane Endeavors","Print","","","","","","","","",""
"210000000081","","","","","Booklet 11/8.5"" Full Color 44","","'-","$17.60","Yes","","No","","","11.00","Item","2.700000000","Diane Endeavors","Print","","","","","","","","",""
"210000000082","","","","","100 Business Cards - KW MC Special","","'-","$11.00","Yes","","No","","","11.00","Item","5.400000000","Sinalite","Print","","","","","","","","",""
"210000000085","","","","","18x24in Custom Coroplast Signs w/ HD Stakes 1-4","","'-","$35.00","Yes","","No","","","35.00","Item","26.720000000","Sinalite","Wholesale Print","","","","","","","","",""
"210000000087","","","","","18 x 24in Custom Aluminum Composite Sign Single","","'-","$89.00","Yes","","No","","","79.00","Item","55.990000000","Sinalite","Wholesale Print","","","","","","","","",""
"210000000089","","","","","Large  (24x30) Custom Aluminum Composite Sign Single","","'-","$125.00","Yes","","No","","","125.00","Item","71.810000000","Sinalite","Wholesale Print","","","","","","","","",""
"210000000100","","","","","Custom Presentation Folders - 250","","'-","$749.00","Yes","","No","","","749.00","Item","550.000000000","Sinalite","Wholesale Print","","","","","","","","",""
"210000000219","","","","","TAP - Pre-listing Packet","","'-","$5.00","Yes","","No","","","5.00","Item","1.000000000","","Print","","","","","","","","",""
"210000000220","","","","","Booklet 11/8.5"" Full Color 16","","'-","$6.40","Yes","","No","","","6.40","Item","4.630000000","Diane Endeavors","Print","","","","","","","","",""
"210000000221","","","","","11x17 4 Page Bifold Brochure","","'-","$1.65","Yes","","No","","","1.50","Item","0.450000000","","Print","","","","","","","","",""
"210000000232","","","","","Booklet 11/8.5"" Full Color 24","","'-","$9.60","Yes","","No","","","9.00","Item","4.720000000","Diane Endeavors","Print","","","","","","","","",""
"210000000233","","","","","House Business Card - Square Corners 1000 16PT Gloss","","'-","$94.00","Yes","","No","","","94.00","Item","20.600000000","Diane Endeavors","Print","","","","","","","","",""
"210000000234","","","","","House Business Card - Square Corners 500 16PT Gloss","","'-","$54.00","Yes","","No","","","54.00","Item","21.040000000","Diane Endeavors","Print","","","","","","","","",""
"210000000235","","","","","House Business Card - Square Corners 500 16 PT Uncoated","","'-","$54.00","Yes","","No","","","54.00","Item","7.090000000","Diane Endeavors","Print","","","","","","","","",""
"210000000237","","","","","Calendars","","'-","$22.00","Yes","","No","","","20.00","Item","6.500000000","Sinalite","UV Printer","","","","","","","","",""
"210000000241","","","","","Cardstock Flyer 100lb 2 side","","'-","$0.85","Yes","","Yes","","","0.85","Item","0.440000000","Diane Endeavors","Print","","","","","","","","",""
"210000000243","","","","","EDDM Impression Large","","'-","$0.83","No","","Yes","","","0.79","Item","0.380000000","","Mail","","","","","","","","",""
"210000000245","","","","","EDDM Impression Jumbo","","'-","$1.10","No","","Yes","","","1.05","Item","0.430000000","","Mail","","","","","","","","",""
